,input_size,channels,pool_size,stride,runtime
954,124,360,2,1,
955,32,158,1,1,
956,286,236,2,1,
957,192,2,1,1,0.00543999997899
958,154,54,2,2,
959,157,329,1,2,
960,16,321,2,1,
961,430,255,3,1,
962,346,145,2,2,
963,371,141,3,1,
964,339,110,1,1,
965,65,432,1,2,
966,139,65,2,1,
967,349,219,1,2,
968,51,119,2,1,
969,142,439,3,1,
970,89,239,1,1,
971,114,400,1,2,
972,442,161,2,2,
973,362,188,2,2,
974,251,450,1,1,
975,185,234,2,1,
976,180,325,2,2,
977,288,487,2,1,
978,87,472,1,1,
979,201,461,1,2,0.352895647287
980,151,267,3,2,
981,178,20,1,1,
982,426,280,1,1,
983,372,484,3,2,
984,392,429,3,2,
985,115,70,1,1,
986,260,220,1,2,
987,355,353,2,1,
988,201,3,3,2,0.00885433331132
989,309,281,3,1,
990,130,294,3,1,
991,427,49,2,1,
992,379,282,1,2,
993,254,168,1,1,
994,337,417,2,2,
995,76,428,2,1,
996,317,236,2,2,
997,385,112,3,2,
998,227,311,3,1,
999,436,161,2,2,
1000,408,7,3,2,0.0601709969342
1001,361,211,2,2,
1002,225,164,1,1,
1003,31,131,1,2,
1004,33,213,3,1,
1005,93,55,2,1,
1006,324,427,1,1,
1007,350,20,3,2,
1008,81,376,1,2,
1009,387,506,3,2,
1010,121,458,2,2,
1011,200,107,2,2,0.133075669408
1012,432,454,1,2,
1013,56,504,1,1,
1014,60,67,2,2,
1015,231,390,2,1,
1016,88,94,3,2,
1017,268,210,3,1,
1018,107,358,2,1,
1019,144,491,3,2,
1020,270,245,1,1,
1021,382,438,2,1,
1022,207,119,1,2,0.0973163247108
1023,348,57,2,2,
1024,162,377,3,1,
1025,139,386,3,2,
1026,342,183,2,2,
1027,100,258,2,2,
1028,76,376,3,2,
1029,107,431,1,1,
1030,254,372,1,2,
1031,218,417,3,1,3.96452522278
1032,211,428,3,1,3.79263234138
1033,86,35,2,2,
1034,217,455,2,1,2.62726378441
1035,16,215,2,1,
1036,436,331,1,2,
1037,120,394,1,2,
1038,331,224,1,1,
1039,57,218,3,1,
1040,319,69,3,1,
1041,220,150,2,1,0.883049309254
1042,291,31,2,2,
1043,159,162,2,2,
1044,66,368,1,2,
1045,9,211,2,1,0.00197200011462
1046,159,25,3,1,
1047,181,23,1,1,
1048,5,97,1,2,8.06666721473e-05
1049,139,398,2,2,
1050,107,147,3,1,
1051,247,471,2,1,
1052,306,25,2,2,
1053,19,348,2,1,
1054,196,192,3,1,1.47262525558
1055,68,383,3,1,
1056,269,50,3,2,
1057,442,245,2,1,
1058,47,454,2,1,
1059,210,157,1,1,0.52540999651
1060,4,212,3,2,0.000193333326024
1061,245,252,3,2,
1062,378,54,1,1,
1063,432,27,1,1,
1064,22,201,1,1,
1065,88,438,2,1,
1066,229,419,1,1,
1067,424,352,1,2,
1068,200,286,2,2,0.356252670288
1069,324,195,1,1,
1070,388,471,2,1,
1071,149,210,3,2,
1072,214,23,3,2,0.0534733347595
1073,211,267,1,1,0.868629992008
1074,341,396,1,1,
1075,275,441,1,2,
1076,291,122,2,1,
1077,238,421,3,1,
1078,286,65,1,2,
1079,156,19,1,1,
1080,162,192,2,1,
1081,363,488,2,1,
1082,408,447,1,1,
1083,361,287,3,1,
1084,435,412,3,2,
1085,312,485,1,2,
1086,332,187,2,2,
1087,277,180,3,2,
1088,195,237,1,1,0.659991681576
1089,198,322,2,1,1.54464137554
1090,194,472,1,1,1.299036026
1091,59,14,2,2,0.00146399997175
1092,323,406,2,2,
1093,266,16,2,1,
1094,296,449,3,1,
1095,40,3,2,2,0.000149333340232
1096,311,205,3,1,
1097,447,325,2,2,
1098,149,116,2,1,
1099,407,282,1,2,
1100,429,170,2,1,
1101,67,36,3,1,
1102,15,337,1,2,
1103,281,46,2,1,
1104,95,407,1,1,
1105,271,2,1,1,0.0107723325491
1106,333,379,1,2,
1107,356,474,3,1,
1108,383,146,2,2,
1109,240,118,1,2,
1110,73,213,3,2,
1111,328,249,2,2,
1112,257,141,2,2,
1113,261,70,3,1,
1114,188,388,2,2,
1115,353,2,1,1,0.0183283332735
1116,313,203,2,2,
1117,355,426,1,2,
1118,143,15,3,1,
1119,174,401,2,2,
1120,171,499,2,2,
1121,268,344,3,2,
1122,90,418,3,2,
1123,438,12,2,2,
1124,119,30,2,2,
1125,68,313,2,1,
1126,323,181,3,2,
1127,66,503,1,1,
1128,56,452,3,2,
1129,243,246,3,2,
1130,349,169,2,1,
1131,257,410,2,2,
1132,17,349,2,1,
1133,123,379,1,2,
1134,242,193,2,2,
1135,189,366,3,2,
1136,117,495,3,2,
1137,362,423,1,2,
1138,14,465,3,1,0.0183150004596
1139,156,250,3,2,
1140,77,178,3,1,
1141,146,201,2,2,
1142,10,51,3,2,0.000403666665079
1143,108,240,1,2,
1144,445,500,3,2,
1145,217,64,2,1,0.367616653442
1146,31,395,3,1,
1147,63,396,1,2,
1148,375,500,1,1,
1149,439,376,3,1,
1150,155,258,2,1,
1151,12,161,3,2,0.00113266671542
1152,274,325,1,1,
1153,60,39,3,2,
1154,383,458,3,1,
