,input_size_h,input_size_w,channels,filter_size,stride,runtime
485,146,265,25,2,3,0.0127769997343
486,388,278,6,2,2,0.0191409997642
487,435,222,8,3,3,0.0179469995201
488,328,136,4,2,3,0.00232400000095
489,128,277,5,2,3,0.00233600009233
490,204,392,3,2,3,0.0031500000041
491,40,121,92,3,2,0.0217669997364
492,233,287,7,3,3,0.0107039995492
493,345,233,2,3,3,0.00368999992497
494,368,313,2,3,3,0.00535199977458
495,324,153,16,3,3,0.0184160005301
496,246,436,5,2,3,0.00708700018004
497,424,93,25,2,3,0.0130660003051
498,333,200,13,3,3,0.0334049984813
499,401,426,5,2,2,0.0248879995197
500,282,419,2,3,2,0.01215699967
501,250,362,5,2,2,0.013237000443
502,176,3,1173,3,2,0.0225709993392
503,74,387,12,2,3,0.00459400005639
504,51,432,22,2,2,0.0138990003616
505,392,111,20,3,3,0.0202479995787
506,323,385,4,3,3,0.0115139996633
507,212,180,16,3,3,0.0141890002415
508,133,74,17,2,2,0.00491699995473
509,194,394,3,2,2,0.0067159999162
510,106,251,9,3,3,0.00884999986738
511,75,256,29,3,2,0.03618099913
512,219,413,11,2,3,0.0131179997697
513,348,149,19,3,3,0.0227150004357
514,60,241,64,3,2,0.0463420003653
515,9,104,176,2,2,0.00437999982387
516,409,70,12,2,3,0.00451199989766
517,350,210,11,3,3,0.0188090000302
518,316,262,8,3,3,0.0155210001394
519,333,104,6,3,2,0.0106490002945
520,54,312,21,3,3,0.00822100043297
521,436,136,9,3,3,0.018280999735
522,227,261,16,3,3,0.0271049998701
523,161,112,20,3,3,0.00837299972773
524,249,77,50,2,3,0.0130059998482
525,275,167,4,3,2,0.00943700037897
526,31,56,543,3,2,0.0461149998009
527,142,428,7,2,2,0.0125799998641
528,366,191,6,3,3,0.00972099974751
529,203,357,11,3,3,0.018498999998
530,152,103,46,2,3,0.00961699988693
531,432,355,2,2,2,0.00894199963659
532,337,335,2,2,2,0.00656000012532
533,30,87,105,3,3,0.00834199972451
534,205,367,2,3,3,0.00700799981132
535,359,110,21,2,2,0.0406760014594
536,354,170,6,2,2,0.0105879995972
537,365,3,218,3,2,0.00885299965739
538,130,193,20,3,3,0.0116189997643
539,332,213,9,3,3,0.0147259999067
540,439,198,6,3,2,0.026786999777
541,438,116,19,3,2,0.0488950014114
542,66,220,61,3,2,0.0443889982998
543,37,142,105,3,2,0.0441300012171
544,221,106,24,2,3,0.00738500012085
545,130,368,7,2,3,0.0044049997814
546,294,164,19,2,3,0.0121590001509
547,429,262,2,2,3,0.00293299998157
548,76,315,29,2,3,0.00911800004542
549,2,194,1550,2,2,0.0179750006646
550,223,228,11,3,3,0.013030000031
551,365,191,10,2,3,0.00926699955016
552,94,158,43,3,3,0.0144790001214
553,233,221,16,2,2,0.0241480004042
554,303,188,3,2,2,0.00503000011668
555,427,369,6,3,2,0.0615429989994
556,344,22,106,3,2,0.0381579995155
557,406,317,2,2,2,0.00759299984202
558,382,416,6,3,3,0.0221030004323
559,58,139,66,3,2,0.0264359991997
560,353,124,18,2,3,0.0103449998423
561,265,411,9,2,3,0.0130070000887
562,343,437,2,2,3,0.00394000019878
563,309,288,5,3,3,0.0103839999065
564,240,333,8,2,2,0.0187320001423
565,80,218,4,3,2,0.00349200004712
566,167,305,18,2,2,0.0399219989777
567,388,446,2,3,2,0.0178980007768
568,414,20,7,2,2,0.00174099998549
569,291,160,7,3,2,0.0166410002857
570,111,144,60,3,3,0.0226349998266
571,145,415,15,2,3,0.0119150001556
572,444,398,3,3,3,0.0122410003096
573,339,352,1,3,3,0.00278500001878
574,266,153,18,2,3,0.00981399975717
575,93,181,20,3,2,0.0173010006547
576,114,205,8,3,2,0.00959699973464
577,15,23,1063,2,2,0.00984300021082
578,5,318,326,3,3,0.00743300002068
579,25,346,81,2,2,0.0226569995284
580,107,126,70,2,2,0.0366259999573
581,409,365,6,3,2,0.0464400015771
582,331,234,9,3,3,0.0161109995097
583,399,15,139,2,2,0.0232090000063
584,441,151,14,3,2,0.0479950010777
585,86,68,58,2,2,0.00997999962419
586,118,33,158,3,2,0.0307149998844
587,274,26,104,3,3,0.016127999872
588,397,38,63,2,3,0.0129380002618
589,112,286,18,2,3,0.00754699995741
590,195,358,11,2,3,0.0102009996772
591,28,133,30,3,2,0.00534299993888
592,382,394,6,3,3,0.0211559999734
593,142,399,13,2,2,0.0214579999447
594,51,140,54,2,3,0.00515499990433
595,420,280,4,2,2,0.0137689998373
596,141,352,4,3,2,0.0101650003344
597,324,6,223,3,2,0.0157590005547
598,109,233,15,2,3,0.00503000011668
599,311,399,8,3,2,0.0678120031953
600,169,325,14,3,2,0.0400299988687
601,300,296,11,3,2,0.0505100004375
602,88,12,113,2,2,0.00357499998063
603,298,82,13,3,2,0.0159680005163
604,263,361,10,2,3,0.0125029999763
605,305,142,19,3,2,0.0420040003955
606,33,218,11,2,2,0.00452699977905
607,342,294,5,2,2,0.0223379991949
608,137,437,9,3,2,0.0276449993253
609,387,43,41,2,2,0.0198020003736
610,415,431,1,3,3,0.00411200011149
611,286,73,46,2,2,0.028105000034
612,88,71,62,3,2,0.0195230003446
613,182,273,7,3,2,0.0177699998021
614,178,81,30,2,2,0.0125360004604
615,219,322,10,2,3,0.00926200021058
616,379,336,3,2,3,0.00502099981532
617,58,116,119,3,2,0.0561570003629
618,109,118,58,3,2,0.0379300005734
619,61,261,11,2,3,0.00225099991076
620,421,211,7,2,3,0.00819400046021
621,5,2,66785,3,3,0.0212730001658
622,64,219,50,3,2,0.0350509993732
623,32,21,1039,3,3,0.0154900001362
624,173,150,28,2,2,0.0211789999157
625,407,189,3,3,3,0.00530900014564
626,88,4,1434,2,3,0.00569000001997
627,75,179,59,2,3,0.0105090001598
628,279,211,16,2,3,0.0246270000935
629,293,8,34,3,2,0.00319899991155
630,219,72,2,3,3,0.000751000014134
631,359,54,2,2,3,0.000534999999218
632,423,118,15,3,3,0.0173860006034
633,269,384,1,2,3,0.00138100003824
634,87,307,36,3,3,0.0228589996696
635,265,232,6,2,3,0.00481100007892
636,230,76,23,2,2,0.011930000037
637,248,25,125,2,3,0.0100330002606
638,186,293,3,2,2,0.00480399979278
639,165,266,20,3,2,0.0448129996657
640,274,398,3,3,3,0.00759499985725
641,282,119,2,2,2,0.00195900001563
642,145,157,1,3,2,0.00117599999066
643,443,395,2,3,2,0.0283920001239
644,220,252,8,2,3,0.00782800000161
645,368,393,1,3,3,0.00337800011039
646,227,252,8,3,2,0.0234440006316
647,32,118,21,3,2,0.00378999998793
648,79,30,420,3,3,0.0233800001442
649,190,158,27,3,2,0.0412809997797
650,251,136,13,3,2,0.0225789994001
651,96,57,34,3,2,0.00939700007439
652,145,370,4,3,3,0.00491800019518
653,114,164,39,2,3,0.00966999959201
654,160,392,5,3,2,0.0161719992757
655,370,162,16,3,2,0.0671179965138
656,174,318,16,3,2,0.0458040013909
657,61,368,34,3,3,0.0174690000713
658,283,181,17,2,2,0.0252340007573
659,415,56,21,2,3,0.00664500007406
660,106,270,16,2,3,0.00596700003371
661,150,36,62,3,3,0.00793199986219
662,374,375,5,3,3,0.0162829998881
663,92,365,6,2,2,0.00589099992067
664,305,436,6,2,2,0.0287749990821
665,69,142,39,3,2,0.0389290004969
666,261,162,11,3,2,0.0241219997406
667,202,80,21,2,2,0.0100260004401
668,57,152,4,3,2,0.00179300003219
669,150,213,30,2,3,0.0126189999282
670,397,151,6,2,2,0.0104459999129
671,124,186,18,2,3,0.00546699995175
672,93,292,25,3,2,0.0345439985394
673,81,260,12,3,2,0.0128499995917
674,68,203,14,2,2,0.00564600015059
675,232,429,10,2,3,0.0130449999124
676,431,359,1,2,3,0.00205100001767
677,425,1,495,2,3,0.00924799963832
678,7,32,303,2,2,0.00177099998109
