,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
324,53,5,8,219,4,1,0.0143750002608
325,20,3,85,20,2,2,0.00103699997999
326,20,137,351,13,4,2,0.327706992626
327,33,219,33,20,10,2,0.416738986969
328,219,20,219,5,10,1,4.46224689484
329,33,3,351,53,2,1,0.0180079992861
330,8,33,3,5,2,1,0.000491000013426
331,137,8,219,85,6,2,0.314570009708
332,53,137,20,53,4,1,0.330150991678
333,20,53,3,219,4,1,0.0335850007832
334,33,20,219,219,2,2,0.0636449977756
335,85,20,137,20,8,2,0.266472995281
336,20,53,219,85,6,1,1.18880200386
337,85,33,13,5,6,2,0.0232650004327
338,5,8,53,137,4,2,0.0101330000907
339,53,33,137,8,2,1,0.072543002665
340,5,13,5,8,4,2,0.000299000006635
341,13,5,351,5,2,1,0.00607699993998
342,137,219,13,20,10,2,0.809946000576
343,137,85,8,33,6,2,0.097714997828
344,53,137,351,219,10,2,18.0785827637
345,85,13,137,53,4,1,0.305083990097
346,20,8,53,13,4,1,0.0110259996727
347,5,5,85,20,2,2,0.000935000018217
348,8,85,13,8,6,1,0.0157810002565
349,33,33,13,53,2,1,0.0120580000803
350,219,85,85,85,2,2,0.299418002367
351,137,33,8,85,4,1,0.122997000813
352,20,53,3,85,10,1,0.03809799999
353,3,53,33,33,2,1,0.00231599994004
354,20,219,20,85,2,1,0.084348000586
355,85,20,8,13,10,1,0.07174000144
356,3,13,33,137,2,1,0.0020459999796
357,33,219,13,20,2,1,0.0444590002298
358,20,33,13,33,10,2,0.0164989996701
359,8,137,3,13,6,2,0.00242800009437
360,85,20,33,53,10,2,0.131347000599
361,53,5,53,8,2,2,0.00126499996986
362,13,53,85,8,8,2,0.042321998626
363,33,13,53,137,2,2,0.00743900006637
364,20,20,8,219,10,1,0.0624080002308
365,53,5,33,85,2,2,0.00251400005072
366,85,33,85,33,2,1,0.110697999597
367,219,137,13,20,8,1,2.13225197792
368,85,219,351,53,2,1,3.48060488701
369,5,13,137,3,4,1,0.00853800028563
370,53,137,13,8,4,1,0.117360003293
371,53,8,20,33,2,1,0.00452100019902
372,53,137,53,85,10,1,5.43933200836
373,53,85,137,13,6,2,0.431735992432
374,8,219,5,8,2,1,0.00352300005034
375,13,85,3,85,8,2,0.00773000018671
376,219,53,351,20,6,1,12.1585693359
377,8,8,5,33,4,2,0.000584000023082
378,137,33,13,5,10,2,0.084873996675
379,33,33,351,219,2,2,0.146861001849
380,53,219,53,53,4,2,0.335909992456
381,20,137,13,5,4,2,0.0119679998606
382,8,5,33,33,2,1,0.000990999978967
383,13,13,33,137,10,2,0.0397000014782
384,20,219,53,20,4,2,0.0882050022483
385,137,20,20,5,6,1,0.126920998096
386,53,53,85,5,10,2,0.339736998081
387,8,85,3,137,2,1,0.00809799972922
388,137,13,137,53,4,2,0.127308994532
389,137,13,137,85,10,1,1.88346099854
