,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
322,53,33,137,351,6,2,0.637549996376
323,351,219,5,562,10,2,4.57610797882
324,562,562,3,137,4,2,1.03524303436
325,137,8,33,5,2,1,0.00649600010365
326,20,85,351,562,10,2,5.25832414627
327,33,351,562,137,10,1,72.0799331665
328,85,13,562,8,8,2,0.274996012449
329,13,20,33,85,8,1,0.0321969985962
330,33,53,351,562,6,1,8.84669589996
331,53,53,3,1441,6,2,0.121155001223
332,20,85,85,351,4,2,0.195381000638
333,562,33,13,33,10,1,1.24722003937
334,53,33,351,137,6,1,2.75097203255
335,219,85,33,1441,10,1,60.7643089294
336,351,8,33,13,4,1,0.0706819966435
337,33,5,219,85,2,2,0.00637099985033
338,351,219,351,1441,6,1,1043.03222656
339,219,219,53,13,10,2,3.05066895485
340,351,20,900,1441,2,2,7.33338212967
341,53,33,5,5,8,1,0.0216460004449
342,219,562,20,219,2,1,3.15007996559
343,20,562,5,85,10,1,0.401674985886
344,13,137,1441,137,6,2,2.77697706223
345,3,351,53,53,2,1,0.0147430002689
346,85,53,85,3,6,2,0.137924998999
347,8,219,1441,351,6,1,17.3492736816
348,13,13,53,351,2,2,0.00544600002468
349,20,33,85,351,4,1,0.276445001364
350,351,137,3,900,8,2,1.93725705147
351,219,20,20,53,4,1,0.124872997403
352,85,137,13,219,2,2,0.0620569996536
353,20,33,20,900,10,1,0.571022987366
354,219,33,5,8,6,1,0.0576840005815
355,5,219,900,1441,4,2,4.41929483414
356,8,562,13,351,4,2,0.0889889970422
357,351,85,85,8,2,1,0.467370986938
358,137,137,53,5,2,2,0.0487609989941
359,137,33,3,219,10,1,0.245663002133
360,8,33,13,137,6,2,0.00620799977332
361,85,219,3,562,4,1,0.881053984165
362,137,33,5,351,2,1,0.099420003593
363,33,20,8,13,6,2,0.00249599991366
364,562,85,3,219,6,2,0.360639989376
365,562,85,5,351,4,1,1.86483204365
366,33,219,53,900,8,2,3.76427698135
367,562,13,900,900,10,2,55.9606361389
368,562,219,20,5,4,2,0.450248986483
369,562,53,351,351,8,2,45.301990509
370,351,20,219,20,2,1,0.329010993242
371,5,5,562,33,4,2,0.0177500005811
372,137,33,562,8,6,1,3.6789059639
373,13,20,20,13,8,2,0.00313300010748
374,137,562,20,8,10,1,6.55183410645
375,85,33,20,351,6,2,0.152520999312
376,20,33,33,53,10,1,0.0983820036054
377,33,562,33,20,4,1,0.540498018265
378,351,351,1441,20,8,1,594.338378906
379,53,20,137,900,6,1,3.14247608185
380,85,33,1441,900,6,1,90.5121459961
381,562,219,5,3,8,1,1.64821994305
382,13,33,562,8,8,1,0.374956995249
383,562,562,900,1441,8,2,
384,219,219,53,20,4,1,2.21745896339
385,137,53,8,20,6,1,0.113842003047
386,33,137,219,8,2,1,0.179817005992
387,33,13,900,900,6,1,7.70468902588
388,13,8,5,33,6,2,0.000607000023592
389,33,219,53,8,8,1,0.925278007984
390,13,8,3,351,2,1,0.00186299998313
391,351,8,20,3,4,1,0.0370279997587
392,8,137,5,137,6,1,0.0223699994385
393,53,13,900,53,8,1,1.85447394848
394,53,20,85,137,10,1,0.773418009281
395,5,562,8,3,2,2,0.00101200002246
396,351,5,53,219,2,2,0.0207400005311
397,85,351,1441,562,8,1,1154.5748291
398,33,219,20,1441,2,1,1.08794295788
399,562,137,85,562,6,1,106.866325378
400,53,562,33,8,10,1,3.83618092537
401,5,33,3,5,2,1,0.000218000001041
402,53,3,33,8,2,1,0.000875000027008
403,13,20,53,219,10,2,0.0718970000744
404,351,8,8,137,2,2,0.00807899981737
405,562,20,33,85,6,2,0.325271010399
